filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
Hyperclap_Bad_and_Boujee.mp3,0.49704718589782715,0.11266180127859116,2371.405324903788,2597.2494635084477,5352.50096749226,0.0757319683630031,-134.9066925048828,95.12440490722656,9.85498046875,12.278868675231934,15.292312622070312,24.25543785095215,-2.8724875450134277,21.666275024414062,-4.897704124450684,-0.5666069388389587,0.25687476992607117,6.782721042633057,-5.332350730895996,5.642265796661377,-4.416653633117676,5.746624946594238,-1.5070568323135376,3.400446653366089,-2.9847004413604736,2.8948891162872314,bass
RezzGrabbitz_SomeoneElse.wav,0.31777364015579224,0.126778706908226,1686.5777391977238,2151.937592336535,3246.5470352409056,0.06794101018285603,-160.2021026611328,139.38232421875,9.095479965209961,-8.27193832397461,12.06015396118164,-7.438207626342773,-11.168440818786621,-2.7189345359802246,-17.73235321044922,-6.6543121337890625,-15.51757526397705,-3.9476442337036133,-7.059765338897705,-10.756084442138672,-7.7795305252075195,-10.006447792053223,-16.71323585510254,-1.3987184762954712,-5.211800575256348,-3.4160523414611816,bass
CloZee_Koto.wav,0.3953278958797455,0.16916349530220032,3130.591399531387,2522.2440215816064,6062.755006016592,0.14825420556791796,-133.74581909179688,30.254045486450195,-36.81410217285156,-10.773035049438477,-32.71110534667969,7.322003364562988,6.216821670532227,4.0273518562316895,-2.2076621055603027,6.8434157371521,6.927092552185059,11.193561553955078,1.2179293632507324,4.419740676879883,-6.01964807510376,0.14133985340595245,-2.7883965969085693,4.7005295753479,-0.909406840801239,1.5408432483673096,chillstep
Rameses_B_We_Love.mp3,0.2645057737827301,0.10672701150178909,1808.5724995290218,2146.5488604114084,3559.5034761694565,0.07787065535506967,-220.84495544433594,111.24342346191406,38.04221725463867,12.50661849975586,-27.151451110839844,-3.159715175628662,-13.683588027954102,-10.138325691223145,-17.771780014038086,-8.091317176818848,-17.763320922851562,-8.66809368133545,-11.406580924987793,-9.027393341064453,-8.977704048156738,-4.685695171356201,-2.0282723903656006,7.540566444396973,7.545126914978027,8.761981964111328,chillstep
Eric_Church_Springsteen.mp3,0.3776015043258667,0.1015874445438385,2122.8547878268137,2272.267547654939,4366.623595624516,0.10108706825657894,-138.67703247070312,110.22281646728516,0.6020804643630981,21.558841705322266,-1.3452248573303223,8.047322273254395,-0.6290691494941711,-1.3376896381378174,-7.863659858703613,3.3090994358062744,-9.088359832763672,2.054084539413452,-7.482305526733398,-1.2164547443389893,-5.215775966644287,-0.3111632764339447,-6.503256797790527,1.111586570739746,-7.172452449798584,-0.30976417660713196,country
Luke_Combs_She_Got_the_Best_of_Me.mp3,0.3533892333507538,0.07761581987142563,2320.907430410713,2487.2746874950444,4994.961462818063,0.09904853183049536,-153.70213317871094,92.83204650878906,-3.5963637828826904,24.03404426574707,4.473472595214844,8.817152976989746,-1.6301250457763672,4.508105754852295,-4.995738506317139,4.12798547744751,-4.595388889312744,4.1929779052734375,-2.4218170642852783,3.5598959922790527,-3.9924659729003906,3.4363579750061035,-7.432521820068359,0.07775548100471497,-5.192008018493652,-0.2681334912776947,country
Galantispbj.wav,0.4198349118232727,0.146098330616951,2216.949375305889,1922.2218990139868,4091.4002598623742,0.13195498439918732,-81.4838638305664,108.03800201416016,-39.80370330810547,25.271780014038086,-9.664098739624023,4.653540134429932,-7.110738754272461,1.3094578981399536,-7.704119682312012,-1.4281660318374634,-7.94263219833374,0.49833381175994873,-8.937369346618652,-4.593059062957764,-10.575715065002441,-3.4096596240997314,-6.281129837036133,-2.521862745285034,-8.73507308959961,-2.1851401329040527,dubstep
The_Chainsmokers_Save_Yourself_NGHTMRE_VIP_REMIX.mp3,0.3256857395172119,0.07622098177671432,3111.744631983225,2637.5129121895743,6299.803572616341,0.15968044032991485,-126.40644073486328,63.27604293823242,-9.845697402954102,21.09063720703125,-0.39436468482017517,5.025200366973877,-1.5596930980682373,6.349328994750977,-0.4713720679283142,6.302916526794434,-1.427728295326233,2.1481311321258545,-2.270598888397217,5.719222545623779,2.7119760513305664,7.731879711151123,2.0723814964294434,5.20659065246582,-2.797548770904541,4.063979625701904,dubstep
C2C_Down_The_Road.mp3,0.29949936270713806,0.10058631747961044,1874.8471657936725,1787.361138519659,3586.178314870356,0.09795254450464397,-187.91847229003906,108.76105499267578,-32.05733871459961,37.67880630493164,-11.581485748291016,6.685223579406738,-3.9792072772979736,-3.671128988265991,-4.143899440765381,-5.364823341369629,-3.5115959644317627,-2.9738471508026123,-4.574324131011963,3.579606771469116,-7.62670373916626,-1.97273850440979,-2.3523101806640625,3.9982781410217285,-3.2628562450408936,0.47484707832336426,electrofunk
Typhoon_Freez_Alles_Is_Gezegend.mp3,0.30630388855934143,0.11005698889493942,2129.396848114273,2423.8469525854052,4561.764082303357,0.08438157592395511,-175.45143127441406,94.16979217529297,8.947196006774902,13.809476852416992,-5.341972827911377,1.4951655864715576,3.5734190940856934,4.4658989906311035,-10.998095512390137,3.938051700592041,-10.076993942260742,-0.33839794993400574,-3.610058307647705,0.802647054195404,-1.780505895614624,-0.7458100318908691,-8.579131126403809,-2.3850514888763428,-11.090727806091309,-2.4426517486572266,electrofunk
